"COUNTRY";"AREA";"YEAR";"MONTH";"DAY";"HAUL_NUMBER";"Longitude";"Latitude"
"ESP";1;1999;5;4;1;-4.37725;36.6301666666667
"ESP";1;1999;5;4;2;-4.34716666666667;36.5995
"ESP";1;1999;5;4;3;-4.32508333333333;36.5838333333333
"ESP";1;1999;5;5;4;-4.8545;36.2606666666667
"ESP";1;1999;5;5;5;-4.98333333333333;36.24075
"ESP";1;1999;5;5;6;-5.0565;36.2850833333333
"ESP";1;1999;5;5;7;-5.1555;36.3188333333333
"ESP";1;1999;5;5;8;-5.20325;36.3614166666667
"ESP";1;1999;5;6;9;-4.3945;36.3634166666667
"ESP";1;1999;5;6;10;-4.638;36.42775
"ESP";1;1999;5;6;11;-4.47141666666667;36.3710833333333
"ESP";1;1999;5;7;12;-3.615;36.7126666666667
"ESP";1;1999;5;7;13;-3.77216666666667;36.6510833333333
"ESP";1;1999;5;7;14;-3.84641666666667;36.618
"ESP";1;1999;5;7;15;-3.9175;36.6388333333333
"ESP";1;1999;5;8;16;-3.26283333333333;36.7244166666667
"ESP";1;1999;5;8;17;-3.289;36.6783333333333
"ESP";1;1999;5;8;18;-3.11475;36.6165833333333
"ESP";1;1999;5;8;19;-3.05108333333333;36.544
"ESP";1;1999;5;9;20;-2.42458333333333;36.6461666666667
"ESP";1;1999;5;9;21;-2.46791666666667;36.6218333333333
"ESP";1;1999;5;9;22;-2.78225;36.4741666666667
"ESP";1;2000;5;24;8;-5.11733333333333;36.2553333333333
"ESP";1;1999;5;9;23;-2.91891666666667;36.4845833333333
"ESP";1;1999;5;10;24;-2.58341666666667;36.72225
"ESP";1;1999;5;10;25;-2.81816666666667;36.6361666666667
"ESP";1;1999;5;10;26;-2.65983333333333;36.659
"ESP";1;1999;5;10;27;-2.54266666666667;36.7131666666667
"ESP";1;1999;5;11;28;-2.27333333333333;36.7645
"ESP";1;1999;5;11;29;-2.29991666666667;36.7138333333333
"ESP";1;1999;5;11;30;-2.17541666666667;36.51475
"ESP";1;1999;5;12;31;-1.77225;36.8351666666667
"ESP";1;1999;5;12;32;-1.91416666666667;36.82925
"ESP";1;1999;5;12;33;-1.77275;37.1255833333333
"ESP";1;1999;5;12;34;-1.63783333333333;37.2478333333333
"ESP";1;1999;5;13;35;-1.56558333333333;37.3581666666667
"ESP";1;1999;5;13;36;-1.405;37.3833333333333
"ESP";1;1999;5;13;37;-1.13716666666667;37.5108333333333
"ESP";1;1999;5;13;38;-0.910083333333333;37.54275
"ESP";1;1999;5;14;39;-0.797666666666667;37.5309166666667
"ESP";1;2000;5;22;1;-4.41558333333333;36.6273333333333
"ESP";1;2000;5;22;2;-4.3315;36.6041666666667
"ESP";1;2000;5;22;3;-4.33158333333333;36.5764166666667
"ESP";1;2000;5;23;5;-4.8235;36.27075
"ESP";1;2000;5;23;6;-4.80441666666667;36.3506666666667
"ESP";1;2000;5;24;7;-4.90375;36.2603333333333
"ESP";1;2000;5;24;9;-5.14533333333333;36.3389166666667
"ESP";1;2000;5;24;10;-5.2055;36.35825
"ESP";1;2000;5;25;11;-4.44066666666667;36.4033333333333
"ESP";1;2000;5;25;12;-4.41591666666667;36.3690833333333
"ESP";1;2000;5;25;13;-4.47241666666667;36.3240833333333
"ESP";1;2000;5;25;14;-4.22175;36.34725
"ESP";1;2000;5;26;15;-4.07708333333333;36.71025
"ESP";1;2000;5;26;16;-4.05175;36.6458333333333
"ESP";1;2000;5;26;17;-3.86741666666667;36.6175833333333
"ESP";1;2000;5;26;18;-3.80225;36.6496666666667
"ESP";1;2000;5;26;19;-3.60825;36.7144166666667
"ESP";1;2000;5;27;20;-3.03441666666667;36.567
"ESP";1;2000;5;27;21;-2.799;36.5915833333333
"ESP";1;2000;5;27;22;-2.81816666666667;36.6361666666667
"ESP";1;2000;5;28;23;-2.57908333333333;36.7255
"ESP";1;2000;5;28;24;-2.66683333333333;36.5726666666667
"ESP";1;2000;5;28;25;-2.6575;36.6630833333333
"ESP";1;2000;5;28;26;-2.567;36.7085
"ESP";1;2000;5;29;27;-3.24208333333333;35.8913333333333
"ESP";1;2000;5;29;28;-3.12733333333333;35.9546666666667
"ESP";1;2000;5;29;29;-3.02358333333333;36.0051666666667
"ESP";1;2000;5;29;30;-2.82858333333333;35.9505833333333
"ESP";1;2000;5;30;31;-2.17416666666667;36.5070833333333
"ESP";1;2000;5;30;32;-2.43866666666667;36.6470833333333
"ESP";1;2000;5;30;33;-2.31108333333333;36.71575
"ESP";1;2000;5;30;34;-2.27825;36.76625
"ESP";1;2000;5;31;35;-1.881;36.8430833333333
"ESP";1;2000;5;31;36;-1.76191666666667;37.1253333333333
"ESP";1;2000;5;31;37;-1.6295;37.2351666666667
"ESP";1;2000;5;31;38;-1.56441666666667;37.36
"ESP";1;2000;6;1;39;-1.408;37.3841666666667
"ESP";1;2001;5;12;1;-4.419;36.626
"ESP";1;2001;5;12;2;-4.34041666666667;36.609
"ESP";1;2001;5;12;3;-4.32491666666667;36.58075
"ESP";1;2001;5;13;4;-4.87025;36.24825
"ESP";1;2001;5;13;5;-4.96725;36.2486666666667
"ESP";1;2001;5;13;6;-5.06966666666667;36.2689166666667
"ESP";1;2001;5;13;7;-5.15225;36.3245833333333
"ESP";1;2001;5;13;8;-5.2035;36.3614166666667
"ESP";1;2001;5;14;9;-4.79408333333333;36.4596666666667
"ESP";1;2001;5;14;10;-4.82133333333333;36.4045
"ESP";1;2001;5;14;11;-4.48833333333333;36.3688333333333
"ESP";1;2001;5;14;12;-4.32966666666667;36.3379166666667
"ESP";1;2001;5;15;13;-4.25066666666667;36.5755833333333
"ESP";1;2001;5;15;14;-4.27166666666667;36.50775
"ESP";1;2001;5;15;15;-4.16175;36.4565833333333
"ESP";1;2001;5;15;16;-4.21875;36.4689166666667
"ESP";1;2001;5;15;17;-4.30366666666667;36.6973333333333
"ESP";1;2001;5;17;18;-3.565;36.6030833333333
"ESP";1;2001;5;17;19;-3.60425;36.7118333333333
"ESP";1;2001;5;17;20;-3.29133333333333;36.6781666666667
"ESP";1;2001;5;17;21;-3.18741666666667;36.66275
"ESP";1;2001;5;18;22;-2.78008333333333;36.47375
"ESP";1;2001;5;18;23;-2.91233333333333;36.48425
"ESP";1;2001;5;18;24;-2.80375;36.63375
"ESP";1;2001;5;18;25;-2.65891666666667;36.6614166666667
"ESP";1;2001;5;18;26;-2.5425;36.71275
"ESP";1;2001;5;19;28;-2.31316666666667;36.71275
"ESP";1;2001;5;19;29;-2.43083333333333;36.6496666666667
"ESP";1;2001;5;20;30;-2.1745;36.5134166666667
"ESP";1;2001;5;20;31;-1.88875;36.8235
"ESP";1;2001;5;20;32;-1.76833333333333;36.8415833333333
"ESP";1;2001;5;21;33;-1.78008333333333;37.11325
"ESP";1;2001;5;21;34;-1.65433333333333;37.226
"ESP";1;2001;5;22;36;-1.159;37.5095
"ESP";1;2001;5;22;37;-0.9035;37.5434166666667
"ESP";1;2001;5;22;38;-0.811416666666667;37.5136666666667
"ESP";1;2001;5;22;39;-0.732416666666667;37.5725
"ESP";1;2001;5;22;40;-0.657416666666667;37.5524166666667
"ESP";1;2002;5;11;1;-4.4195;36.62425
"ESP";1;2002;5;11;2;-4.327;36.5870833333333
"ESP";1;2002;5;11;3;-4.34091666666667;36.5978333333333
"ESP";1;2002;5;12;4;-4.29716666666667;36.6941666666667
"ESP";1;2002;5;12;5;-4.04758333333333;36.6466666666667
"ESP";1;2002;5;12;6;-4.08441666666667;36.6195833333333
"ESP";1;2002;5;12;7;-4.183;36.4979166666667
"ESP";1;2002;5;13;8;-4.52208333333333;36.5523333333333
"ESP";1;2002;5;13;9;-4.57266666666667;36.4665833333333
"ESP";1;2002;5;14;10;-5.20425;36.3605
"ESP";1;2002;5;14;11;-5.15308333333333;36.3241666666667
"ESP";1;2002;5;14;12;-5.04125;36.3
"ESP";1;2002;5;14;13;-5.00833333333333;36.2283333333333
"ESP";1;2002;5;14;14;-4.89583333333333;36.2541666666667
"ESP";1;2002;5;15;15;-4.67975;36.3643333333333
"ESP";1;2002;5;15;16;-4.40408333333333;36.325
"ESP";1;2002;5;15;17;-4.25791666666667;36.3455
"ESP";1;2002;5;15;18;-4.15866666666667;36.465
"ESP";1;2002;5;16;19;-3.85225;36.6075833333333
"ESP";1;2002;5;16;20;-3.79783333333333;36.6555
"ESP";1;2002;5;16;21;-3.59508333333333;36.7125833333333
"ESP";1;2002;5;16;22;-3.24616666666667;36.6854166666667
"ESP";1;2002;5;16;23;-3.20066666666667;36.6624166666667
"ESP";1;2002;5;17;24;-2.80233333333333;36.5929166666667
"ESP";1;2002;5;17;25;-2.77916666666667;36.6356666666667
"ESP";1;2002;5;17;26;-2.65583333333333;36.6649166666667
"ESP";1;2002;5;17;27;-2.5475;36.7065
"ESP";1;2002;5;18;28;-2.26833333333333;36.76225
"ESP";1;2002;5;18;29;-2.2965;36.7161666666667
"ESP";1;2002;5;18;30;-2.44433333333333;36.6446666666667
"ESP";1;2002;5;18;31;-2.41741666666667;36.6229166666667
"ESP";1;2002;5;19;33;-3.05783333333333;36.5545
"ESP";1;2002;5;19;34;-2.954;36.4814166666667
"ESP";1;2002;5;20;36;-1.87758333333333;36.8465
"ESP";1;2002;5;20;37;-1.776;36.832
"ESP";1;2002;5;21;38;-1.77683333333333;37.1183333333333
"ESP";1;2002;5;21;39;-1.63833333333333;37.2455833333333
"ESP";1;2002;5;21;40;-1.55308333333333;37.36625
"ESP";1;2002;5;21;41;-1.5585;37.35925
"ESP";1;2002;5;21;42;-1.39283333333333;37.385
"ESP";1;2002;5;22;43;-1.15991666666667;37.5090833333333
"ESP";1;2002;5;22;44;-0.9065;37.5425
"ESP";1;2002;5;22;45;-0.8095;37.5129166666667
"ESP";1;2002;5;22;46;-0.727833333333333;37.5764166666667
"ESP";1;2003;4;26;1;-4.33858333333333;36.6016666666667
"ESP";1;2003;4;26;2;-4.283;36.49525
"ESP";1;2003;4;26;3;-4.18633333333333;36.4859166666667
"ESP";1;2003;4;27;4;-5.19566666666667;36.3589166666667
"ESP";1;2003;4;27;5;-5.14341666666667;36.32825
"ESP";1;2003;4;27;6;-5.0425;36.2999166666667
"ESP";1;2003;4;27;7;-4.94358333333333;36.2574166666667
"ESP";1;2003;4;27;8;-4.76591666666667;36.2941666666667
"ESP";1;2003;4;28;9;-4.50208333333333;36.36825
"ESP";1;2003;4;28;10;-4.32883333333333;36.3375833333333
"ESP";1;2003;4;28;11;-4.36375;36.5400833333333
"ESP";1;2003;4;28;12;-4.24258333333333;36.5761666666667
"ESP";1;2003;4;29;13;-4.06791666666667;36.6218333333333
"ESP";1;2003;4;29;14;-3.85775;36.5691666666667
"ESP";1;2003;4;29;15;-3.74333333333333;36.6108333333333
"ESP";1;2003;4;29;16;-3.60666666666667;36.71925
"ESP";1;2003;4;30;17;-3.30583333333333;36.72175
"ESP";1;2003;4;30;18;-3.25058333333333;36.6838333333333
"ESP";1;2003;4;30;19;-3.05766666666667;36.55375
"ESP";1;2003;4;30;20;-2.97316666666667;36.47325
"ESP";1;2003;4;30;21;-2.79958333333333;36.4684166666667
