csquares;Lat;Lon;Year;FD_total;depth;fleet
1300:370:370;37.75;0.05;2013;1.052825474;885.5999756;demersal fisheries
1300:370:370;37.75;0.05;2014;1.081615728;885.5999756;demersal fisheries
1300:370:370;37.75;0.05;2015;1.021365865;885.5999756;demersal fisheries
1300:370:370;37.75;0.05;2016;0.995716031;885.5999756;demersal fisheries
1300:370:370;37.75;0.05;2017;1.005469803;885.5999756;demersal fisheries
1300:370:380;37.85;0.05;2013;6.314187106;771.2000122;demersal fisheries
1300:370:380;37.85;0.05;2014;6.486852993;771.2000122;demersal fisheries
1300:370:380;37.85;0.05;2015;6.125512093;771.2000122;demersal fisheries
1300:370:380;37.85;0.05;2016;5.97168047;771.2000122;demersal fisheries
1300:370:380;37.85;0.05;2017;6.030177479;771.2000122;demersal fisheries
1300:380:100;38.05;0.05;2013;2.940448769;900.1699829;demersal fisheries
1300:380:100;38.05;0.05;2014;2.999947889;900.1699829;demersal fisheries
1300:380:100;38.05;0.05;2015;2.95297948;900.1699829;demersal fisheries
1300:380:100;38.05;0.05;2016;2.930592292;900.1699829;demersal fisheries
1300:380:100;38.05;0.05;2017;2.926920512;900.1699829;demersal fisheries
1300:380:101;38.05;0.15;2013;1.670344681;846.4400024;demersal fisheries
1300:380:101;38.05;0.15;2014;1.698912531;846.4400024;demersal fisheries
1300:380:101;38.05;0.15;2015;1.702579297;846.4400024;demersal fisheries
1300:380:101;38.05;0.15;2016;1.702183443;846.4400024;demersal fisheries
1300:380:101;38.05;0.15;2017;1.69236388;846.4400024;demersal fisheries
1300:380:102;38.05;0.25;2013;2.472865282;818.0999756;demersal fisheries
1300:380:102;38.05;0.25;2014;2.517292743;818.0999756;demersal fisheries
1300:380:102;38.05;0.25;2015;2.510340325;818.0999756;demersal fisheries
1300:380:102;38.05;0.25;2016;2.504727535;818.0999756;demersal fisheries
1300:380:102;38.05;0.25;2017;2.493345294;818.0999756;demersal fisheries
1300:380:103;38.05;0.35;2013;1.270805558;826.1300049;demersal fisheries
1300:380:103;38.05;0.35;2014;1.295205745;826.1300049;demersal fisheries
1300:380:103;38.05;0.35;2015;1.282531026;826.1300049;demersal fisheries
1300:380:103;38.05;0.35;2016;1.275951174;826.1300049;demersal fisheries
1300:380:103;38.05;0.35;2017;1.272421365;826.1300049;demersal fisheries
1300:380:104;38.05;0.45;2013;1.84106171;901.2399902;demersal fisheries
1300:380:104;38.05;0.45;2014;1.891406837;901.2399902;demersal fisheries
1300:380:104;38.05;0.45;2015;1.786048715;901.2399902;demersal fisheries
1300:380:104;38.05;0.45;2016;1.741195196;901.2399902;demersal fisheries
1300:380:104;38.05;0.45;2017;1.758251486;901.2399902;demersal fisheries
1300:380:110;38.15;0.05;2013;76.41342047;326.7099915;demersal fisheries
1300:380:110;38.15;0.05;2014;78.4983798;326.7099915;demersal fisheries
1300:380:110;38.15;0.05;2015;74.15228105;326.7099915;demersal fisheries
1300:380:110;38.15;0.05;2016;72.30151258;326.7099915;demersal fisheries
1300:380:110;38.15;0.05;2017;73.00260586;326.7099915;demersal fisheries
1300:380:111;38.15;0.15;2013;39.17278021;404.6600037;demersal fisheries
1300:380:111;38.15;0.15;2014;40.23924583;404.6600037;demersal fisheries
1300:380:111;38.15;0.15;2015;38.02501977;404.6600037;demersal fisheries
1300:380:111;38.15;0.15;2016;37.08182746;404.6600037;demersal fisheries
1300:380:111;38.15;0.15;2017;37.43772873;404.6600037;demersal fisheries
1300:380:112;38.15;0.25;2013;33.00760676;468.0100098;demersal fisheries
1300:380:112;38.15;0.25;2014;33.90611685;468.0100098;demersal fisheries
1300:380:112;38.15;0.25;2015;32.04101748;468.0100098;demersal fisheries
1300:380:112;38.15;0.25;2016;31.24652959;468.0100098;demersal fisheries
1300:380:112;38.15;0.25;2017;31.54625388;468.0100098;demersal fisheries
1300:380:113;38.15;0.35;2013;34.44821029;650;demersal fisheries
1300:380:113;38.15;0.35;2014;35.38764227;650;demersal fisheries
1300:380:113;38.15;0.35;2015;33.43123965;650;demersal fisheries
1300:380:113;38.15;0.35;2016;32.59805647;650;demersal fisheries
1300:380:113;38.15;0.35;2017;32.91338547;650;demersal fisheries
1300:380:114;38.15;0.45;2013;13.20985545;753.2000122;demersal fisheries
1300:380:114;38.15;0.45;2014;13.56458686;753.2000122;demersal fisheries
1300:380:114;38.15;0.45;2015;12.84634574;753.2000122;demersal fisheries
1300:380:114;38.15;0.45;2016;12.53982939;753.2000122;demersal fisheries
1300:380:114;38.15;0.45;2017;12.65259865;753.2000122;demersal fisheries
1300:380:120;38.25;0.05;2013;97.7495904;134.1399994;demersal fisheries
1300:380:120;38.25;0.05;2014;100.4226217;134.1399994;demersal fisheries
1300:380:120;38.25;0.05;2015;94.8287227;134.1399994;demersal fisheries
1300:380:120;38.25;0.05;2016;92.44726362;134.1399994;demersal fisheries
